realtime_start,realtime_end,date,value
2019-12-23,2019-12-23,1927-12-01,6.5632
2019-12-23,2019-12-23,1928-01-01,6.7017
2019-12-23,2019-12-23,1928-02-01,6.7570
2019-12-23,2019-12-23,1928-03-01,6.8124
2019-12-23,2019-12-23,1928-04-01,6.7847
2019-12-23,2019-12-23,1928-05-01,6.8678
2019-12-23,2019-12-23,1928-06-01,6.9232
2019-12-23,2019-12-23,1928-07-01,7.0063
2019-12-23,2019-12-23,1928-08-01,7.1447
2019-12-23,2019-12-23,1928-09-01,7.2001
2019-12-23,2019-12-23,1928-10-01,7.3386
2019-12-23,2019-12-23,1928-11-01,7.4770
2019-12-23,2019-12-23,1928-12-01,7.6155
2019-12-23,2019-12-23,1929-01-01,7.7263
2019-12-23,2019-12-23,1929-02-01,7.6986
2019-12-23,2019-12-23,1929-03-01,7.7263
2019-12-23,2019-12-23,1929-04-01,7.8648
2019-12-23,2019-12-23,1929-05-01,8.0032
2019-12-23,2019-12-23,1929-06-01,8.0586
2019-12-23,2019-12-23,1929-07-01,8.1694
2019-12-23,2019-12-23,1929-08-01,8.0863
2019-12-23,2019-12-23,1929-09-01,8.0309
2019-12-23,2019-12-23,1929-10-01,7.8924
2019-12-23,2019-12-23,1929-11-01,7.5047
2019-12-23,2019-12-23,1929-12-01,7.1724
2019-12-23,2019-12-23,1930-01-01,7.1724
2019-12-23,2019-12-23,1930-02-01,7.1447
2019-12-23,2019-12-23,1930-03-01,7.0340
2019-12-23,2019-12-23,1930-04-01,6.9786
2019-12-23,2019-12-23,1930-05-01,6.8678
2019-12-23,2019-12-23,1930-06-01,6.6740
2019-12-23,2019-12-23,1930-07-01,6.3693
2019-12-23,2019-12-23,1930-08-01,6.2309
2019-12-23,2019-12-23,1930-09-01,6.1201
2019-12-23,2019-12-23,1930-10-01,5.9539
2019-12-23,2019-12-23,1930-11-01,5.8155
2019-12-23,2019-12-23,1930-12-01,5.6770
2019-12-23,2019-12-23,1931-01-01,5.6493
2019-12-23,2019-12-23,1931-02-01,5.6770
2019-12-23,2019-12-23,1931-03-01,5.7878
2019-12-23,2019-12-23,1931-04-01,5.8155
2019-12-23,2019-12-23,1931-05-01,5.7324
2019-12-23,2019-12-23,1931-06-01,5.5939
2019-12-23,2019-12-23,1931-07-01,5.5109
2019-12-23,2019-12-23,1931-08-01,5.3170
2019-12-23,2019-12-23,1931-09-01,5.0678
2019-12-23,2019-12-23,1931-10-01,4.8739
2019-12-23,2019-12-23,1931-11-01,4.8185
2019-12-23,2019-12-23,1931-12-01,4.7908
2019-12-23,2019-12-23,1932-01-01,4.6524
2019-12-23,2019-12-23,1932-02-01,4.5416
2019-12-23,2019-12-23,1932-03-01,4.4862
2019-12-23,2019-12-23,1932-04-01,4.1816
2019-12-23,2019-12-23,1932-05-01,4.0431
2019-12-23,2019-12-23,1932-06-01,3.9047
2019-12-23,2019-12-23,1932-07-01,3.7939
2019-12-23,2019-12-23,1932-08-01,3.9047
2019-12-23,2019-12-23,1932-09-01,4.1539
2019-12-23,2019-12-23,1932-10-01,4.2924
2019-12-23,2019-12-23,1932-11-01,4.2924
2019-12-23,2019-12-23,1932-12-01,4.2093
2019-12-23,2019-12-23,1933-01-01,4.1262
2019-12-23,2019-12-23,1933-02-01,4.1539
2019-12-23,2019-12-23,1933-03-01,3.9047
2019-12-23,2019-12-23,1933-04-01,4.1816
2019-12-23,2019-12-23,1933-05-01,4.8739
2019-12-23,2019-12-23,1933-06-01,5.6216
2019-12-23,2019-12-23,1933-07-01,6.1478
2019-12-23,2019-12-23,1933-08-01,5.8986
2019-12-23,2019-12-23,1933-09-01,5.5663
2019-12-23,2019-12-23,1933-10-01,5.2893
2019-12-23,2019-12-23,1933-11-01,4.9847
2019-12-23,2019-12-23,1933-12-01,5.0124
2019-12-23,2019-12-23,1934-01-01,5.1785
2019-12-23,2019-12-23,1934-02-01,5.4278
2019-12-23,2019-12-23,1934-03-01,5.6770
2019-12-23,2019-12-23,1934-04-01,5.6770
2019-12-23,2019-12-23,1934-05-01,5.7878
2019-12-23,2019-12-23,1934-06-01,5.6770
2019-12-23,2019-12-23,1934-07-01,5.2893
2019-12-23,2019-12-23,1934-08-01,5.2339
2019-12-23,2019-12-23,1934-09-01,4.9293
2019-12-23,2019-12-23,1934-10-01,5.1509
2019-12-23,2019-12-23,1934-11-01,5.2062
2019-12-23,2019-12-23,1934-12-01,5.5386
2019-12-23,2019-12-23,1935-01-01,5.9816
2019-12-23,2019-12-23,1935-02-01,6.0924
2019-12-23,2019-12-23,1935-03-01,6.0647
2019-12-23,2019-12-23,1935-04-01,5.9539
2019-12-23,2019-12-23,1935-05-01,5.9539
2019-12-23,2019-12-23,1935-06-01,6.0370
2019-12-23,2019-12-23,1935-07-01,6.0370
2019-12-23,2019-12-23,1935-08-01,6.2586
2019-12-23,2019-12-23,1935-09-01,6.4247
2019-12-23,2019-12-23,1935-10-01,6.6186
2019-12-23,2019-12-23,1935-11-01,6.7570
2019-12-23,2019-12-23,1935-12-01,6.8401
2019-12-23,2019-12-23,1936-01-01,6.7293
2019-12-23,2019-12-23,1936-02-01,6.5632
2019-12-23,2019-12-23,1936-03-01,6.6463
2019-12-23,2019-12-23,1936-04-01,7.0617
2019-12-23,2019-12-23,1936-05-01,7.2001
2019-12-23,2019-12-23,1936-06-01,7.3386
2019-12-23,2019-12-23,1936-07-01,7.4770
2019-12-23,2019-12-23,1936-08-01,7.5878
2019-12-23,2019-12-23,1936-09-01,7.7263
2019-12-23,2019-12-23,1936-10-01,7.8371
2019-12-23,2019-12-23,1936-11-01,8.0586
2019-12-23,2019-12-23,1936-12-01,8.3078
2019-12-23,2019-12-23,1937-01-01,8.2801
2019-12-23,2019-12-23,1937-02-01,8.3909
2019-12-23,2019-12-23,1937-03-01,8.5848
2019-12-23,2019-12-23,1937-04-01,8.5848
2019-12-23,2019-12-23,1937-05-01,8.6125
2019-12-23,2019-12-23,1937-06-01,8.5017
2019-12-23,2019-12-23,1937-07-01,8.5571
2019-12-23,2019-12-23,1937-08-01,8.5017
2019-12-23,2019-12-23,1937-09-01,8.2248
2019-12-23,2019-12-23,1937-10-01,7.6155
2019-12-23,2019-12-23,1937-11-01,6.8678
2019-12-23,2019-12-23,1937-12-01,6.2586
2019-12-23,2019-12-23,1938-01-01,6.1201
2019-12-23,2019-12-23,1938-02-01,6.0647
2019-12-23,2019-12-23,1938-03-01,6.0647
2019-12-23,2019-12-23,1938-04-01,5.9539
2019-12-23,2019-12-23,1938-05-01,5.8155
2019-12-23,2019-12-23,1938-06-01,5.8709
2019-12-23,2019-12-23,1938-07-01,6.2032
2019-12-23,2019-12-23,1938-08-01,6.5355
2019-12-23,2019-12-23,1938-09-01,6.7293
2019-12-23,2019-12-23,1938-10-01,6.8955
2019-12-23,2019-12-23,1938-11-01,7.1724
2019-12-23,2019-12-23,1938-12-01,7.2555
2019-12-23,2019-12-23,1939-01-01,7.2555
2019-12-23,2019-12-23,1939-02-01,7.3109
2019-12-23,2019-12-23,1939-03-01,7.3386
2019-12-23,2019-12-23,1939-04-01,7.3109
2019-12-23,2019-12-23,1939-05-01,7.2832
2019-12-23,2019-12-23,1939-06-01,7.4494
2019-12-23,2019-12-23,1939-07-01,7.6709
2019-12-23,2019-12-23,1939-08-01,7.7817
2019-12-23,2019-12-23,1939-09-01,8.2525
2019-12-23,2019-12-23,1939-10-01,8.6678
2019-12-23,2019-12-23,1939-11-01,8.8894
2019-12-23,2019-12-23,1939-12-01,8.8894
2019-12-23,2019-12-23,1940-01-01,8.7786
2019-12-23,2019-12-23,1940-02-01,8.5017
2019-12-23,2019-12-23,1940-03-01,8.3078
2019-12-23,2019-12-23,1940-04-01,8.4740
2019-12-23,2019-12-23,1940-05-01,8.7232
2019-12-23,2019-12-23,1940-06-01,9.0002
2019-12-23,2019-12-23,1940-07-01,9.1109
2019-12-23,2019-12-23,1940-08-01,9.1663
2019-12-23,2019-12-23,1940-09-01,9.3602
2019-12-23,2019-12-23,1940-10-01,9.4986
2019-12-23,2019-12-23,1940-11-01,9.7202
2019-12-23,2019-12-23,1940-12-01,10.0525
2019-12-23,2019-12-23,1941-01-01,10.3017
2019-12-23,2019-12-23,1941-02-01,10.6063
2019-12-23,2019-12-23,1941-03-01,10.9386
2019-12-23,2019-12-23,1941-04-01,10.9663
2019-12-23,2019-12-23,1941-05-01,11.4648
2019-12-23,2019-12-23,1941-06-01,11.5479
2019-12-23,2019-12-23,1941-07-01,11.6864
2019-12-23,2019-12-23,1941-08-01,11.8248
2019-12-23,2019-12-23,1941-09-01,11.8248
2019-12-23,2019-12-23,1941-10-01,11.9356
2019-12-23,2019-12-23,1941-11-01,11.9910
2019-12-23,2019-12-23,1941-12-01,12.1848
2019-12-23,2019-12-23,1942-01-01,12.4341
2019-12-23,2019-12-23,1942-02-01,12.6556
2019-12-23,2019-12-23,1942-03-01,12.7941
2019-12-23,2019-12-23,1942-04-01,12.4341
2019-12-23,2019-12-23,1942-05-01,12.4617
2019-12-23,2019-12-23,1942-06-01,12.4895
2019-12-23,2019-12-23,1942-07-01,12.7941
2019-12-23,2019-12-23,1942-08-01,13.1818
2019-12-23,2019-12-23,1942-09-01,13.4864
2019-12-23,2019-12-23,1942-10-01,13.9295
2019-12-23,2019-12-23,1942-11-01,14.2618
2019-12-23,2019-12-23,1942-12-01,14.5941
2019-12-23,2019-12-23,1943-01-01,14.7326
2019-12-23,2019-12-23,1943-02-01,15.1203
2019-12-23,2019-12-23,1943-03-01,15.2310
2019-12-23,2019-12-23,1943-04-01,15.4249
2019-12-23,2019-12-23,1943-05-01,15.5356
2019-12-23,2019-12-23,1943-06-01,15.4526
2019-12-23,2019-12-23,1943-07-01,15.9233
2019-12-23,2019-12-23,1943-08-01,16.2557
2019-12-23,2019-12-23,1943-09-01,16.6711
2019-12-23,2019-12-23,1943-10-01,16.9203
2019-12-23,2019-12-23,1943-11-01,17.1418
2019-12-23,2019-12-23,1943-12-01,16.9203
2019-12-23,2019-12-23,1944-01-01,17.1141
2019-12-23,2019-12-23,1944-02-01,17.2526
2019-12-23,2019-12-23,1944-03-01,17.2249
2019-12-23,2019-12-23,1944-04-01,17.2249
2019-12-23,2019-12-23,1944-05-01,17.1142
2019-12-23,2019-12-23,1944-06-01,17.0588
2019-12-23,2019-12-23,1944-07-01,17.0311
2019-12-23,2019-12-23,1944-08-01,17.2526
2019-12-23,2019-12-23,1944-09-01,17.1418
2019-12-23,2019-12-23,1944-10-01,17.1972
2019-12-23,2019-12-23,1944-11-01,17.0588
2019-12-23,2019-12-23,1944-12-01,17.0034
2019-12-23,2019-12-23,1945-01-01,16.8372
2019-12-23,2019-12-23,1945-02-01,16.7818
2019-12-23,2019-12-23,1945-03-01,16.6710
2019-12-23,2019-12-23,1945-04-01,16.3664
2019-12-23,2019-12-23,1945-05-01,15.9234
2019-12-23,2019-12-23,1945-06-01,15.5633
2019-12-23,2019-12-23,1945-07-01,15.2034
2019-12-23,2019-12-23,1945-08-01,13.6249
2019-12-23,2019-12-23,1945-09-01,12.4064
2019-12-23,2019-12-23,1945-10-01,11.9079
2019-12-23,2019-12-23,1945-11-01,12.3510
2019-12-23,2019-12-23,1945-12-01,12.4064
2019-12-23,2019-12-23,1946-01-01,11.7140
2019-12-23,2019-12-23,1946-02-01,11.1325
2019-12-23,2019-12-23,1946-03-01,12.2956
2019-12-23,2019-12-23,1946-04-01,12.0741
2019-12-23,2019-12-23,1946-05-01,11.6310
2019-12-23,2019-12-23,1946-06-01,12.3510
2019-12-23,2019-12-23,1946-07-01,12.7664
2019-12-23,2019-12-23,1946-08-01,13.2371
2019-12-23,2019-12-23,1946-09-01,13.4864
2019-12-23,2019-12-23,1946-10-01,13.7356
2019-12-23,2019-12-23,1946-11-01,13.8187
2019-12-23,2019-12-23,1946-12-01,13.9018
2019-12-23,2019-12-23,1947-01-01,14.0679
2019-12-23,2019-12-23,1947-02-01,14.1510
2019-12-23,2019-12-23,1947-03-01,14.2341
2019-12-23,2019-12-23,1947-04-01,14.1233
2019-12-23,2019-12-23,1947-05-01,14.1787
2019-12-23,2019-12-23,1947-06-01,14.1787
2019-12-23,2019-12-23,1947-07-01,14.0956
2019-12-23,2019-12-23,1947-08-01,14.1787
2019-12-23,2019-12-23,1947-09-01,14.2895
2019-12-23,2019-12-23,1947-10-01,14.4279
2019-12-23,2019-12-23,1947-11-01,14.6218
2019-12-23,2019-12-23,1947-12-01,14.6772
2019-12-23,2019-12-23,1948-01-01,14.7603
2019-12-23,2019-12-23,1948-02-01,14.7880
2019-12-23,2019-12-23,1948-03-01,14.6218
2019-12-23,2019-12-23,1948-04-01,14.6495
2019-12-23,2019-12-23,1948-05-01,14.8987
2019-12-23,2019-12-23,1948-06-01,15.0926
2019-12-23,2019-12-23,1948-07-01,15.0926
2019-12-23,2019-12-23,1948-08-01,15.0372
2019-12-23,2019-12-23,1948-09-01,14.9264
2019-12-23,2019-12-23,1948-10-01,15.0372
2019-12-23,2019-12-23,1948-11-01,14.8433
2019-12-23,2019-12-23,1948-12-01,14.7049
2019-12-23,2019-12-23,1949-01-01,14.5664
2019-12-23,2019-12-23,1949-02-01,14.4280
2019-12-23,2019-12-23,1949-03-01,14.1510
2019-12-23,2019-12-23,1949-04-01,14.0679
2019-12-23,2019-12-23,1949-05-01,13.8741
2019-12-23,2019-12-23,1949-06-01,13.8464
